t,qx,qy,qz,qw
0.0,0.15187598076543538,0.19017434322948293,-0.08789537006667995,0.9659408934115035
0.02,0.15455442465275357,0.19625606106074078,-0.08448732626860071,0.9646027057898823
0.036,0.1567430964846634,0.20083505516611225,-0.0817445212421708,0.963542793843487
0.06,0.1600916426640535,0.20722296542984797,-0.07762522286769667,0.9619790191695063
0.08,0.1629316378925938,0.21211312699938348,-0.0741884050140098,0.9607067103386222
0.1,0.16580197215831788,0.2166195403307601,-0.07074256970764883,0.9594692124328228
0.124,0.16927603881899228,0.22156832950075506,-0.06659973385741305,0.958027960705802
0.144,0.17219157727891948,0.22540124073709045,-0.06315328591950883,0.9568469072249473
0.16,0.17453342356901025,0.2282963084731482,-0.06040164016092876,0.9559134487288498
0.18,0.177466156424641,0.23169444184162008,-0.056967539896707206,0.9547660175884363
0.196,0.17981205213662865,0.2342327755613367,-0.05422460055346978,0.9538670376179604
0.216,0.18273644571181213,0.23717505707661488,-0.05079915399371286,0.9527721814068889
0.232,0.18506700204427887,0.23934700975215234,-0.04806874231690631,0.9519204849613843
0.252,0.18796257096414323,0.24184608806694938,-0.0446600764353972,0.9508869644579461
0.276,0.19140288841557737,0.24454107631339161,-0.04057194125788385,0.949693905363317
0.3,0.1947940036000237,0.24691312529756088,-0.036482321236068316,0.9485558733962346
0.316,0.19702014757092554,0.24832085865992537,-0.03375381418149215,0.947829358394078
0.336,0.19975726092396368,0.2498914386821669,-0.030338259772011652,0.9469587612855791
0.36,0.20297475565756068,0.25151106701575277,-0.026245194547218534,0.9459675583747732
0.376,0.20507823404157652,0.25244406338516767,-0.02352034652684673,0.9453368214997399
0.4,0.20816139745498208,0.253631580520794,-0.019424833872021947,0.9444376791515454
0.42,0.2106683784927102,0.2544565849900553,-0.016005538409972656,0.9437237431572112
0.448,0.21410400273898544,0.255526028871053,-0.011197706580018084,0.9427303622711438
0.472,0.21696050231472613,0.2564067533806598,-0.006954545542621815,0.9418786288861357
0.492,0.2192964170935438,0.25708482324106985,-0.003435507513439462,0.9411719674943403
0.508,0.2211332089288378,0.2575780914670346,-0.0006224546738977585,0.9406132272380683
0.524,0.22294347302812295,0.2580212571474794,0.0021879229844228854,0.9400619403460643
0.548,0.22561261135438115,0.2585842918019632,0.0063904150606171346,0.9392509122840857
0.568,0.22779922809464279,0.258956130167264,0.009875324191615348,0.9385902792488268
0.584,0.22953027277920116,0.25917916677646025,0.012636105986312311,0.938073740285095
0.6,0.23125707315343888,0.25932185749298314,0.015325278887992462,0.9375699846784236
0.616,0.23297633733074868,0.2593960047780249,0.01798010022297989,0.937076547004096
0.632,0.23468224778574284,0.25940329330759243,0.02062627954449231,0.936594218745535
0.648,0.2363778109371657,0.2593445059534176,0.023263336447320867,0.9361222008400774
0.668,0.23849552444591243,0.2591723913118341,0.02650180537925661,0.935546477045697
0.692,0.24102649513720853,0.2588329976915584,0.030367647978223715,0.93487406312516
0.712,0.2431242176402368,0.2584393497274532,0.033592740999389824,0.9343293022598734
0.732,0.24522302556119227,0.2579358381995692,0.03680542208803687,0.9337987641948463
0.752,0.2473306979245506,0.25732497160833634,0.04000137203690074,0.9332798482160048
0.772,0.24943686510995774,0.2566233254012315,0.04320697968161076,0.9327694656724798
